"","06520011B0023R","06520067C0018R","06520063C0043R","06520105C0017R","06520092C0017R","06520103C0017R","06520001B0023R","06520022C0017R","06520062C0017R","06520046C0018R","06520101B0017R","06520047C0017R","06520024B0014R","06520080B0023R","06520093C0017R","06520070C0018R","06520023C0018R","06520099B0017R","06520015C0016R","06520019C0023R"
"GeneID:57099",305,217,785,302,554,566,547,125,403,418,309,316,366,305,255,271,359,242,227,277
"GeneID:10775",336,229,198,238,176,351,596,315,162,355,316,186,255,247,345,201,259,220,193,207
"GeneID:100302156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:126402",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:3553",7,62,408,140,25,498,120,13,141,168,237,251,74,5,1323,495,68,97,266,181
"GeneID:221468",3,17,21,19,31,11,11,12,13,16,69,6,6,37,49,31,10,30,13,39
"GeneID:4938",1837,4240,412,189,366,1723,599,1713,285,161,1074,847,363,125,2105,551,729,1162,624,1429
"GeneID:100133251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:23543",5065,11698,4431,5424,2940,2788,4421,4606,6388,6934,1231,6829,6382,6146,1037,6352,7502,609,4635,6387
"GeneID:283420",0,1,1,0,2,11,4,21,0,15,35,0,4,0,196,33,18,117,3,15
"GeneID:646396",5,8,4,0,7,52,223,9,333,6,388,4,12,0,248,0,9,47,11,63
"GeneID:255180",0,0,1,2,965,0,0,0,6,1,0,0,0,0,1,0,5,38,0,0
"GeneID:7556",542,772,309,571,297,213,327,585,475,365,147,380,481,173,176,466,376,325,332,588
"GeneID:1381",468,15796,248,167,0,3,0,102,133,1,8,95,5,121,2,24,2,20,24,390
"GeneID:4253",4781,5822,4298,7448,7639,8388,8447,9279,6316,1791,7025,2810,2292,6573,7155,4169,4275,11073,9177,4741
"GeneID:84167",640,388,606,870,330,150,271,819,766,1014,153,234,941,240,319,404,377,345,318,359
"GeneID:10491",4573,3294,4819,2912,4630,7997,11107,4453,5183,262,4118,1409,4279,11621,3848,5137,2898,2953,7170,3138
"GeneID:608",0,0,1,6,34,9,1,3,0,5,100,0,0,2,123,2,18,78,0,1
"GeneID:729668",4,1,115,3,4,1,2,185,22,1,11,1,1,0,2,10,5,32,3,8
"GeneID:103724388",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:1965",2240,2375,1686,2251,1698,2593,2634,2136,2492,1929,1798,2167,2297,3897,2062,1848,2883,2206,1438,2405
"GeneID:9883",2401,2414,2707,2838,2525,3012,1823,2211,2701,5801,2418,5331,4827,1861,2411,2982,2453,3258,1514,3341
"GeneID:101930668",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:79853",0,0,1,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"GeneID:2165",1,1,1,8,1482,0,1,2,0,4,19,17,2,0,0,0,0,0,2,0
"GeneID:102724219",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:386593",0,0,1,4,0,0,1,0,0,1,8,7,2,0,1,0,3,1,3,3
"GeneID:102723466",0,1,0,18,0,0,0,0,1,3,0,6,0,0,0,0,1,0,0,4
"GeneID:8000",3,2,1,0,0,2,37,1,1,3,0,2,0,5,7,1,0,0,0,0
"GeneID:283297",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:102723555",0,0,0,0,0,0,0,0,0,0,0,44,0,1,0,0,0,0,0,0
"GeneID:899",535,396,255,379,243,906,755,719,256,453,430,915,950,739,608,256,250,698,209,218
"GeneID:100033805",0,0,0,7,0,0,0,0,0,11,0,0,1,0,0,27,113,0,0,64
"GeneID:102725291",0,0,0,0,0,7,27,0,7,24,0,11,0,0,0,5,2,0,0,19
"GeneID:1557",2,4,39,1,2212,7,4,0,7,13,2,0,3,0,10,12,109,0,3,20
"GeneID:390201",0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0
"GeneID:100506736",323,134,58,32,164,202,159,1408,36,99,1859,29,116,78,2023,310,337,2057,100,358
"GeneID:29843",2967,2528,1585,1977,1359,2268,2719,2034,1313,3299,1748,2099,2087,2424,2122,1829,1416,2768,1352,1340
"GeneID:54585",955,619,1742,846,480,819,966,1222,710,761,285,304,361,860,400,461,656,283,717,407
"GeneID:101927280",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:26036",7410,6377,4455,5773,3874,3793,7024,4074,5036,6866,5241,6967,5436,5807,4074,5459,4667,7142,2957,6736
"GeneID:100616137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:55432",574,198,251,467,355,444,140,253,261,505,359,823,47,355,341,430,245,588,214,543
"GeneID:493901",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:101410537",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:101929298",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:102725221",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:8673",65,85,998,111,554,2227,309,147,149,83,1145,126,190,30,1565,236,278,1782,167,873
"GeneID:100500877",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:647121",5,3,7,17,63,82,16,6,0,7,111,55,7,46,109,12,46,183,11,45
"GeneID:51441",2669,1938,1616,1693,1235,1569,1512,1705,2463,1636,1410,2112,1885,1520,1528,1210,1318,2001,931,1955
"GeneID:25999",1905,1309,707,2095,437,339,134,2210,800,8863,699,3677,173,640,783,4539,7163,666,789,4001
"GeneID:121364",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"GeneID:102724745",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:693159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:54948",412,218,233,389,479,434,439,415,419,284,282,163,343,370,419,296,569,306,226,198
"GeneID:79047",98,335,149,235,294,241,296,59,786,517,113,295,413,124,85,207,333,50,339,225
"GeneID:653598",0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0
"GeneID:400658",7,1,0,1,1,1,0,3,0,0,0,1,2,0,8,1,0,0,1,5
"GeneID:57568",399,531,5445,7253,6056,7715,1342,478,646,1646,1912,4240,486,783,1759,12126,5062,1449,3127,6849
"GeneID:8878",2147,2438,3352,3437,6444,8825,3904,4790,1892,3965,7406,2811,3025,3070,10064,10055,10806,7509,3594,8643
"GeneID:8178",186,135,223,147,202,353,183,218,161,231,480,124,174,112,387,251,154,265,164,499
"GeneID:100132215",0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"GeneID:102724068",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:94005",671,563,820,822,793,1441,1813,885,613,1315,1321,1273,1170,567,1386,1451,1516,1048,759,1433
"GeneID:346528",2,0,0,0,0,0,0,5,1,0,0,0,0,0,0,2,0,0,0,0
"GeneID:100506289",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
"GeneID:100616208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:101927157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:11218",1633,1009,934,1232,775,1594,926,1244,931,1235,1050,2061,1708,1524,947,882,747,1395,562,1101
"GeneID:9086",1688,2327,1553,1,328,1610,1052,1056,770,0,1,766,1,2807,0,564,1366,1007,500,793
"GeneID:23190",4465,4270,4418,5109,4501,5708,3404,3851,4157,4193,4967,4539,4324,3514,5043,4785,3659,5891,3202,4998
"GeneID:151242",43,27,0,2,1,26,0,29,22,53,0,15,3,74,0,94,5,0,3,1
"GeneID:9643",2094,1334,2088,3771,2061,1894,3876,1806,3528,3899,1616,3389,1552,16020,1119,2250,2741,819,2378,2386
"GeneID:388524",1181,436,396,545,246,628,224,473,660,154,309,448,969,276,308,233,255,273,237,161
"GeneID:29126",6,4,35,48,93,175,7,26,2,30,947,21,95,5,1250,57,134,599,27,136
"GeneID:6770",49,57,0,3,26,12,8,40,13,21,72,2,3,0,65,51,98,45,12,71
"GeneID:284697",288,55,122,139,66,114,101,276,150,328,74,189,44,50,81,229,175,189,61,186
"GeneID:100287722",8,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0
"GeneID:92086",0,17,0,0,0,0,0,0,48,0,2,3,0,0,0,0,0,0,0,0
"GeneID:100996318",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:221895",219,304,217,227,243,685,732,302,306,1494,567,534,190,2704,631,807,1005,656,446,753
"GeneID:5592",547,523,1728,332,2280,814,314,434,4065,48,768,837,1024,1283,375,1105,954,137,3278,1294
"GeneID:101929390",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:497049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GeneID:1839",88,82,363,228,468,1101,147,100,165,266,106,351,40,138,217,2270,360,118,815,1358
"GeneID:100775107",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"GeneID:1486",543,270,307,288,514,990,298,599,167,496,607,253,176,573,663,550,634,812,427,478
"GeneID:6872",8348,7958,8944,7927,6498,6228,11070,10346,10165,15399,8260,14755,7336,11839,8875,9501,9623,14729,5686,8142
"GeneID:253959",1467,1945,1075,1623,947,887,555,848,1975,2224,1058,1321,627,754,737,2179,1724,1674,840,2174
"GeneID:219858",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:6943",0,27,531,0,47,24,4,0,116,4,43,0,0,0,4,13,108,0,2,125
"GeneID:100129094",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:4572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:51385",2452,1986,938,2275,543,1529,418,978,3329,752,1948,1702,1399,662,1274,1228,1062,2213,483,1703
"GeneID:767577",1,3,1,0,0,1,0,1,7,5,0,12,7,0,0,5,7,0,1,6
"GeneID:2203",10,56,61,120,322,3168,145,19,180,54,1624,101,118,17,1249,225,108,302,69,1173
"GeneID:6328",371,55,153,28915,68,26,156,12,9,13806,288,29198,47,0,558,11464,33489,956,257,17095
"GeneID:51043",39,70,140,107,277,277,193,212,166,91,520,61,63,101,710,156,137,779,183,156
"GeneID:767583",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GeneID:101929511",0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,2,0
"GeneID:100616206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:9419",367,350,253,309,239,274,279,360,397,393,285,446,245,314,262,352,376,241,168,248
"GeneID:102465875",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:101929156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:102724554",42,34,101,108,64,78,47,108,379,2,85,24,73,71,28,98,31,90,99,42
"GeneID:84992",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:124912",0,2,11,0,0,0,0,52,0,0,0,0,0,0,0,1,0,0,0,0
"GeneID:6653",236,361,34328,4182,607,11439,3034,454,876,7006,6539,3648,959,143,7407,5880,11243,15361,1037,9338
"GeneID:112597",0,0,0,1,5,1,1,0,0,0,1,2,1,0,0,2,0,1,1,4
"GeneID:8477",36,25,91,44,140,377,216,71,31,59,414,62,97,5,623,216,116,939,80,244
"GeneID:401261",5,32,15,26,3,1,46,6,9,8,4,15,8,1,5,14,5,10,3,2
"GeneID:11172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:100861519",7,0,1,2,0,0,0,0,1,0,0,0,5,0,0,1,0,0,1,0
"GeneID:11340",1471,1313,737,1383,568,1018,639,1191,1047,840,1060,864,1500,1336,946,709,569,1329,653,926
"GeneID:102724855",0,1,1,0,0,0,0,1,0,1,0,0,29,0,0,0,0,0,0,0
"GeneID:6954",14,10,25,7,2,0,2,25,15,5,4,15,1,51,4,9,7,10,3,19
"GeneID:102724543",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1
"GeneID:102724481",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:11272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:643596",0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,2
"GeneID:8148",19001,7044,14928,14197,13014,9967,9483,9707,8051,10949,11637,11320,22651,16243,13091,7640,8648,15776,9094,10959
"GeneID:677831",243,591,591,254,282,149,490,213,971,935,366,1157,123,289,145,94,85,415,99,797
"GeneID:644353",2,15,48,274,72,45,99,29,257,258,243,651,41,271,95,164,244,243,31,463
"GeneID:728",29,53,145,51,67,1030,128,27,35,73,162,82,51,28,238,297,99,179,124,1358
"GeneID:54851",329,169,179,229,163,200,358,354,210,260,399,239,180,120,389,199,159,686,153,274
"GeneID:155184",0,0,0,1,1,4,5,0,0,0,10,0,1,0,1,0,1,0,0,0
"GeneID:2993",7,3,0,0,0,7,0,6,0,0,0,17,0,0,38,9,1,2,0,0
"GeneID:100144603",0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1
"GeneID:100509490",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:92",919,1063,1042,1331,808,1482,889,1084,1707,2042,738,2173,2569,644,423,1679,1821,915,939,1910
"GeneID:80731",82,52,170,214,113,347,62,1028,61,33,458,237,57,0,19,844,599,65,49,910
"GeneID:101929595",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:57020",5879,4603,2857,5336,2618,4457,3368,4423,3481,3000,2683,3638,725,1814,3352,4420,4573,3818,3013,3398
"GeneID:128312",17,70,338,29,64,82,90,477,144,1495,300,2958,21,84,554,332,603,385,127,134
"GeneID:84186",3553,1786,2453,2345,1943,1841,3522,2728,3659,2837,3398,2137,3981,833,3459,2332,2865,6348,1706,4002
"GeneID:9332",1190,708,2110,557,8000,18053,7164,4074,569,688,23745,3476,2584,1280,15524,6533,3207,942,2928,11826
"GeneID:100287114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:693209",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:146395",12,1,8,461,0,0,0,7,0,1,0,3,251,4,5,7,13,0,2,97
"GeneID:100288524",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:54828",2378,1664,3072,2658,2177,2369,1824,2895,3938,5060,2228,10373,3352,1944,2709,4514,4991,4313,1585,3655
"GeneID:83787",372,337,347,322,294,406,251,294,407,327,231,383,215,190,229,394,373,355,297,260
"GeneID:387882",301,18,255,85,75,701,453,245,246,467,1142,177,61,485,421,101,466,395,330,186
"GeneID:197131",13505,19109,7586,10064,6920,8689,4900,11127,7644,12689,8465,8145,9432,7891,9439,12554,12431,11990,7464,10447
"GeneID:494335",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:222658",2089,1505,1464,1680,1681,1926,1701,1749,1735,1279,1351,1712,1420,3559,1697,2172,1923,2097,1854,2765
"GeneID:4773",74,94,395,265,463,1787,793,322,292,266,2856,244,1974,941,4543,1573,778,5710,752,7688
"GeneID:349667",134,67,5,13,53,23,62,125,209,8,31,25,61,56,6,28,32,4,43,27
"GeneID:10557",394,210,312,152,211,334,372,323,207,271,272,192,218,271,375,220,176,405,166,272
"GeneID:344658",6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,1,1,0
"GeneID:1397",488,1692,860,207,980,411,214,1640,468,505,336,156,445,644,502,640,2349,246,1188,1113
"GeneID:100847085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:101928448",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2,0,1
"GeneID:10926",1062,320,708,666,400,617,630,452,559,853,627,1690,1331,876,649,200,128,852,282,353
"GeneID:84961",1163,763,1047,1071,859,959,765,1376,1210,4014,845,838,1069,500,1074,1658,2423,1551,809,1426
"GeneID:252948",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:100170216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:574463",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:1302",67,2547,1016,681,62,32,44,165,1461,195,32,140,37,9807,41,177,205,12,251,351
"GeneID:102724281",7,12,10,53,5,3,4,15,7,1,2,2,21,0,6,9,3,8,4,4
"GeneID:55195",0,5,150,11,61,31,3,4,0,27,1,0,1,0,0,0,1,0,0,0
"GeneID:23473",2570,2302,3171,3093,1681,3188,2642,2570,3057,1961,2150,2606,1800,2498,2140,2803,2318,3733,1797,3688
"GeneID:148398",78,1059,49,2,14,52,40,548,1074,3,24,20,48,287,40,74,504,17,86,56
"GeneID:102466754",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:692085",5,7,8,3,7,0,2,2,15,3,5,4,0,3,0,1,2,2,0,10
"GeneID:285692",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:84924",1421,790,610,1538,549,535,450,850,1309,1609,385,1182,1234,536,399,1013,558,569,1062,951
"GeneID:11120",1848,2223,2131,2764,2296,1785,1647,3233,1618,1493,3099,1909,3646,1548,4098,2693,2492,5482,1803,2113
"GeneID:101929003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:148418",3,85,20,54,3,18,5,102,1,4,12,66,51,56,20,25,33,7,7,8
"GeneID:220107",0,0,0,1,1,1,4,0,2,32,6,0,7,0,0,34,11,0,5,8
"GeneID:100874029",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:23467",1753,593,7,393,11,130,72,790,107,100,44,116,10,41,29,116,138,111,110,270
"GeneID:123103",0,1,35,2,0,1,7,0,1,5,8,3,13,3,25,96,49,12,27,11
"GeneID:3214",46,167,181,3,407,188,89,10,23,21,348,2,19,115,190,379,137,325,336,128
"GeneID:3429",170,176,206,220,914,1143,232,244,155,179,428,761,552,622,1046,1056,4260,113,589,1420
"GeneID:102724828",0,2,0,0,0,0,0,0,7,1,0,0,21,0,11,0,0,2,0,0
"GeneID:664614",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:102723926",0,3,1,5,5,0,2,0,1,1,1,3,0,0,1,0,1,2,1,0
"GeneID:401024",16,5604,4,13,144,154,37,58,710,120,39,128,1324,22,142,388,134,188,103,48
"GeneID:135644",0,0,0,0,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"GeneID:10584",0,6,5,7,1,3,0,1,0,4,0,9,3,0,10,1,2,4,4,5
"GeneID:56474",2154,1022,1742,1980,1287,2157,817,1874,2478,50,1133,4232,1105,891,838,1481,1261,829,842,904
"GeneID:81050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:63036",0,0,0,2,0,0,2,1,0,0,5,0,228,0,0,0,0,0,0,0
"GeneID:221178",957,1242,1538,5312,1156,836,120,851,613,365,1697,878,1746,340,1815,1572,699,2177,701,1783
"GeneID:102724057",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:57139",42,74,1141,17,107,515,68,37,101,22,31,24,4,0,46,193,73,22,105,217
"GeneID:256021",4,0,8,17,8,3,3,3,16,0,11,72,2,16,57,6,1,55,0,39
"GeneID:4155",40,18,338,1127,107,548,62,35,26,44,416,7397,70,11,840,1544,136,943,105,461
"GeneID:101927821",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:79912",395,248,150,167,222,320,236,299,327,254,386,353,264,242,346,251,303,479,164,371
"GeneID:101930317",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:100499183",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:85019",327,161,437,195,238,264,360,165,425,526,159,964,291,402,198,404,559,248,283,200
"GeneID:11202",0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0
"GeneID:100616418",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:200298",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0
"GeneID:100133077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:4793",58,72,43,78,81,119,120,114,53,124,220,57,96,154,280,91,72,238,65,155
"GeneID:54762",293,66,177,4575,296,123,66,424,185,45,126,40,83,237,172,105,126,269,244,118
"GeneID:23658",771,581,356,482,309,592,1461,391,371,579,211,852,622,1040,246,271,276,291,229,184
"GeneID:3890",0,0,4,0,0,0,5,0,0,0,0,0,0,0,4,1,0,0,2,0
"GeneID:79861",0,0,0,3,0,1,0,0,0,0,82,0,1,0,9,4,1,25,8,0
"GeneID:101929338",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:128439",1,3,3,4,1,1,0,0,1,1,2,2,0,0,1,0,3,0,2,0
"GeneID:57176",1291,1233,1410,6934,680,959,1008,1387,1137,1878,760,1782,1908,876,725,1306,1161,925,669,1924
"GeneID:124857",1,0,0,25,1,0,6,0,2,1,0,15,2,2,0,14,4,0,3,26
"GeneID:7561",845,454,731,1339,280,443,282,518,548,1415,513,806,1095,182,683,978,522,741,1156,768
"GeneID:692200",0,8,11,0,0,0,0,5,7,6,4,0,0,1,1,6,1,3,0,10
"GeneID:100124700",2,38,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0
"GeneID:102465511",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:6397",1871,2104,3028,2718,5080,2973,2485,3090,1373,3810,3719,3905,1621,3709,4028,3886,2512,3356,1969,5674
"GeneID:158381",4,3,1,0,5,0,1,1,4,1,0,1,0,0,0,1,0,0,1,0
"GeneID:64499",1,2,1,0,0,6,3,41,5,0,2,0,1,0,67,9,1,9,0,1
"GeneID:100132541",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:2788",24,18,2,51,54,32,10,20,49,1,23,28,7,0,74,42,21,57,49,20
"GeneID:64083",2914,1745,1468,1615,2947,3665,3399,1944,1960,2289,1861,1870,1621,3346,2230,2553,1874,2163,2119,2204
"GeneID:102724867",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:282679",8,16,14,76,8,33,16,4,10,25,22,28,8,22,3,76,31,1,5,55
"GeneID:101927052",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:6655",3852,3323,4996,4426,3860,3333,3031,2971,2836,6620,2884,4630,3042,2511,3555,6646,4915,4647,4066,5757
"GeneID:101928854",20,27,22,28,24,11,12,22,46,20,19,23,22,22,12,7,9,19,12,13
"GeneID:2984",5,4,14,17,1415,60,1,21,10,7,7,2,0,0,3,6,1,33,1,2
"GeneID:102723729",2,3,0,1,0,0,0,2,9,0,0,2,3,0,3,0,1,0,0,5
"GeneID:93034",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:9735",9091,8382,6047,8651,3645,5331,7828,8735,4960,9277,5500,8565,13975,7117,6064,3159,1938,7625,2998,2308
"GeneID:574466",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:102723635",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:100616377",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:574492",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:1581",9,20,3,7,7,5,4,13,3,0,1,0,1,12,5,62,2,2,7,5
"GeneID:101930354",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:326343",0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,7,0
"GeneID:7145",11705,9966,3457,1258,7254,8081,5877,8143,4926,578,4587,1801,2159,1088,4654,15626,7792,1546,11802,9007
"GeneID:3344",463,223,196,523,382,545,548,553,480,549,489,1401,1167,470,924,1007,491,1128,356,514
"GeneID:2214",95,410,414,316,1401,7625,1918,800,155,75,1477,787,1425,63,1211,1017,537,37,1023,1121
"GeneID:132241",118,79,124,150,82,54,80,150,235,106,137,76,79,72,75,85,106,84,63,130
"GeneID:26548",56,19,21,61,65,61,120,42,32,26,60,155,138,52,56,62,47,93,27,76
"GeneID:101929179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:401898",17,14,22,48,23,38,4,34,21,9,0,61,78,5,12,29,9,1,33,10
"GeneID:102724367",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:101928329",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:407048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:101929988",1,0,2,3,1,0,0,0,3,3,3,1,0,0,0,1,2,0,4,1
"GeneID:116447",1313,2609,470,415,699,616,712,1041,2027,751,414,664,829,1402,477,436,515,552,228,491
"GeneID:10644",33,187,1658,1547,363,2883,774,2371,45,33,427,52,942,1201,200,161,109,137,249,345
"GeneID:116843",943,1186,541,1307,1243,1209,442,1054,881,60,370,171,726,219,433,466,357,337,310,802
"GeneID:7392",2458,2441,2916,2347,2499,4765,3065,3498,1856,3687,2962,1770,2547,2989,3753,2908,2460,4867,1690,3117
"GeneID:645202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:390442",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"GeneID:79574",0,0,0,0,281,132,0,0,0,4,0,13,0,0,0,1,4,0,0,0
"GeneID:200185",3539,2395,1217,1908,4545,4037,3234,2534,1758,1823,3345,3698,2158,4560,2868,2790,2177,1722,2424,1715
"GeneID:374403",4,3,33,14,29,81,26,48,3,26,635,3,13,0,1041,17,113,1862,36,71
"GeneID:101926931",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:149281",2,0,0,0,0,10,8,0,4,1,1,0,0,7,0,2,0,5,3,0
"GeneID:201501",12,74,1332,239,36,50,381,201,264,153,3,433,16,381,15,385,1113,7,384,229
"GeneID:145200",0,0,2,1,6,6,3,5,1,2,58,0,0,5,128,0,1,194,2,30
"GeneID:387647",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:2006",1485,5380,839,204,563,1131,603,1814,26212,231,639,6525,926,251,1499,1470,4660,1129,12782,3260
"GeneID:11342",1698,1059,1077,2019,1368,5189,1639,1299,1607,1319,1691,1311,929,1655,1952,2465,1777,1467,1119,3711
"GeneID:101928826",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
